study_words,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
style,,0,0,0,41,,,,,24.661644000007072,24.661644000007072,4.722222222222222,3.5425533000088762,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
library,,0,1,1,19,,,,,28.186366200010525,28.186366200010525,4.722222222222222,0.8600506000220776,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
convalescent ,,0,2,2,29,,,,,29.062565400003223,29.062565400003223,4.851851851851852,1.1820892999821808,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
wheelchair,,0,3,3,31,,,,,30.25915789999999,30.25915789999999,4.785185185185185,0.9769322999927681,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
linguini ,,0,4,4,24,,,,,31.25141570001142,31.25141570001142,4.785185185185185,0.872621699993033,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
file,,0,5,5,39,,,,,32.13771060001454,32.13771060001454,4.785185185185185,0.6593568999960553,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
view,,0,6,6,36,,,,,32.80916130001424,32.80916130001424,4.785185185185185,0.7173704000015277,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
piano,,0,7,7,4,,,,,33.540150700020604,33.540150700020604,4.785185185185185,0.5587383999954909,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
panini ,,0,8,8,42,,,,,34.11185880002449,34.11185880002449,4.785185185185185,0.5651966999867,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
desktop,,0,9,9,11,,,,,34.691194400016684,34.691194400016684,4.785185185185185,0.5085850000032224,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
conspicuous,,0,10,10,40,,,,,35.21375490000355,35.21375490000355,4.785185185185185,2.0519273999962024,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
tiger,,0,11,11,1,,,,,37.2780211000063,37.2780211000063,4.785185185185185,0.6909991000138689,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
survival,,0,12,12,44,,,,,37.9820355999982,37.9820355999982,4.785185185185185,1.291999199980637,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
university,,0,13,13,15,,,,,39.288099299999885,39.288099299999885,4.785185185185185,0.6634836999874096,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
bottle ,,0,14,14,5,,,,,39.964329500013264,39.964329500013264,4.785185185185185,0.6290242999966722,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
chocolate,,0,15,15,6,,,,,40.60575320001226,40.60575320001226,4.785185185185185,0.6252373000024818,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
crescent,,0,16,16,20,,,,,41.243022400012705,41.243022400012705,4.785185185185185,0.6237709000124596,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
page,,0,17,17,26,,,,,41.87973580000107,41.87973580000107,4.785185185185185,1.4207696000230499,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
purse,,0,18,18,17,,,,,43.312836199998856,43.312836199998856,4.785185185185185,0.6089734999986831,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
amnesia,,0,19,19,47,,,,,43.93758210001397,43.93758210001397,4.785185185185185,0.5793208999966737,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
security,,0,20,20,28,,,,,44.53010970001924,44.53010970001924,4.785185185185185,2.0582118000020273,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
vase,,0,21,21,0,,,,,46.600949700019555,46.600949700019555,4.7518518518518515,1.1224087000009604,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
sunlight,,0,22,22,43,,,,,47.73693340001046,47.73693340001046,4.718518518518518,0.9024457999912556,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
wire,,0,23,23,45,,,,,48.65391459999955,48.65391459999955,4.737037037037037,0.7951998000207823,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
electricity,,0,24,24,23,,,,,49.46257040000637,49.46257040000637,4.7555555555555555,0.8099477999785449,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
book,,0,25,25,2,,,,,50.28385980002349,50.28385980002349,4.7555555555555555,0.7388930000015534,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
help,,0,26,26,35,,,,,51.03705800001626,51.03705800001626,4.7555555555555555,0.9735592000070028,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
hamper,,0,27,27,46,,,,,52.02298460001475,52.02298460001475,4.7555555555555555,1.0469913999841083,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
scissor,,0,28,28,38,,,,,53.08304350002436,53.08304350002436,4.7555555555555555,0.6594225000008009,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
thunder,,0,29,29,25,,,,,53.754971600021236,53.754971600021236,4.7555555555555555,0.6632908000028692,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
pivot,,0,30,30,37,,,,,54.43212969999877,54.43212969999877,4.7555555555555555,0.5790428000036627,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
Sing,,0,31,31,30,,,,,55.024697000015294,55.024697000015294,4.7555555555555555,0.5276336000242736,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
actor,,0,32,32,9,,,,,55.56431380001595,55.56431380001595,4.7555555555555555,0.5120636999781709,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
paint,,0,33,33,14,,,,,56.0895262999984,56.0895262999984,4.7555555555555555,0.5255497000180185,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
leaf,,0,34,34,48,,,,,56.62667740002507,56.62667740002507,4.7555555555555555,0.505329100007657,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
nose,,0,35,35,49,,,,,57.14450570000918,57.14450570000918,4.7555555555555555,0.49686990000191145,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
draught,,0,36,36,7,,,,,57.654445400025,57.654445400025,4.7555555555555555,0.4616876000072807,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
format,,0,37,37,32,,,,,58.12828080001054,58.12828080001054,4.7555555555555555,0.5065191000176128,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
bag,,0,38,38,12,,,,,58.649486600013915,58.649486600013915,4.7555555555555555,1.0142949000000954,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
shade,,0,39,39,21,,,,,59.67609310001717,59.67609310001717,4.7555555555555555,0.5527568999968935,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
window,,0,40,40,34,,,,,60.24190120000276,60.24190120000276,4.7555555555555555,0.6822188000078313,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
walk,,0,41,41,16,,,,,60.93701520000468,60.93701520000468,4.7555555555555555,0.6098772000113968,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
blade,,0,42,42,22,,,,,61.55886499999906,61.55886499999906,4.7555555555555555,0.5617386999947485,,,,,,,,,,,,,123019,001,2023-10-04_12h21.07.751,word priming experiment,2023.1.3,144.11672300581515,
