study_words,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
sonnets,,0,0,0,10,,,,,18.580877400003374,18.580877400003374,3.985185185185185,1.8848826000030385,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
draught,,0,1,1,7,,,,,20.448787100001937,20.448787100001937,3.985185185185185,0.6463962000052561,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
Sing,,0,2,2,30,,,,,21.162751800002297,21.162751800002297,3.985185185185185,0.4892764999967767,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
piano,,0,3,3,4,,,,,21.667134300005273,21.667134300005273,3.985185185185185,0.46477299999969546,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
spectacles ,,0,4,4,8,,,,,22.150144800005364,22.150144800005364,3.985185185185185,0.4572771000021021,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
style,,0,5,5,41,,,,,22.62204070000007,22.62204070000007,3.985185185185185,0.4996121999938623,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
format,,0,6,6,32,,,,,23.13675680000597,23.13675680000597,3.985185185185185,0.5949169000014081,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
bag,,0,7,7,12,,,,,23.747955900005763,23.747955900005763,3.985185185185185,0.5176548000017647,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
bottle ,,0,8,8,5,,,,,24.278963000004296,24.278963000004296,3.9962962962962965,0.4497431999989203,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
sheet,,0,9,9,33,,,,,24.74184310000419,24.74184310000419,3.9962962962962965,0.5519171000050846,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
desktop,,0,10,10,11,,,,,25.30817840000236,25.30817840000236,4.007407407407407,0.4553156000038143,,,,,,,,,,,,,102,001,2023-10-05_14h57.58.584,word priming experiment,2023.1.3,144.16409334012093,
